stop_id,route_id,route_short_name,trip_id,vehicle_id,snapshot_ts,gtfs_scheduled_ts,predicted_arrival_ts,delay_min,headway_min,passenger_delay_min,hour_of_day,day_of_week,is_weekend,is_peak_hour,month,date,hour_bucket,status
1_40065,1_102574,40,1_778639929,1_8125,1773543148,1773543409.0,1773543256.0,-2.55,0.0,-2.55,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_25791,1_100214,372,1_609382219,1_7394,1773543148,1773543038.0,1773543395.0,5.95,13.0,5.95,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_620,40_100239,550,40_561762249,40_9683,1773543148,1773543660.0,1773543265.0,-6.58,1.0,-5.58,20.0,5.0,1,0,3.0,2026-03-14,2026-03-14 20:00,default
1_10210,1_100264,70,1_608612089,1_8244,1773543148,1773543359.0,1773543290.0,-1.15,0.0,-1.15,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_40060,1_102574,40,1_778639929,1_8125,1773543148,1773543325.0,1773543197.0,-2.13,0.0,-2.13,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_80692,1_100045,150,1_694453719,1_8180,1773543148,1773543145.0,1773543226.0,1.35,23.63,1.35,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_54201,1_102619,F Line,1_635423749,1_6279,1773543148,1773542849.0,1773543284.0,7.25,0.0,7.25,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_8671,1_100275,8,1_694016239,1_8296,1773542848,1773543111.0,1773542865.0,-4.1,6.77,2.67,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_52306,1_102619,F Line,1_635423369,1_7975741,1773542848,1773543000.0,1773543000.0,0.0,0.0,0.0,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_2200,1_100001,1,1_727426279,1_7069,1773542848,1773542991.0,1773543021.0,0.5,0.18,0.5,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_12770,1_100228,48,1_770725149,1_8219,1773542848,1773542847.0,1773542913.0,1.1,1.0,1.1,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_620,40_100236,545,40_353313359,40_9587,1773542848,1773543000.0,1773543126.0,2.1,1.0,2.1,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_60983,1_100023,124,1_721288569,1_8029,1773542848,1773543269.0,1773543006.0,-4.38,0.72,-3.66,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_10912,1_100223,43,1_761057999,1_8233,1773542848,1773542480.0,1773543026.0,9.1,1.0,9.1,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_10640,1_100252,62,1_736388879,1_8004,1773542848,1773543660.0,1773542743.0,-15.28,0.0,-15.28,20.0,5.0,1,0,3.0,2026-03-14,2026-03-14 20:00,default
1_6650,1_102747,61,1_737196989,1_7975417,1773542848,1773542454.0,1773542862.0,6.8,0.0,6.8,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_575,1_100219,4,1_761067919,1_7006,1773539690,1773539880.0,1773539709.0,-2.85,0.0,-2.85,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_2850,1_100089,2,1_768042069,1_7975169,1773539690,1773539880.0,1773539880.0,0.0,7.0,0.0,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_46505,1_102619,F Line,1_656276079,1_7975739,1773539690,1773539940.0,1773539940.0,0.0,14.0,0.0,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_26560,1_102574,40,1_724902249,1_8108,1773539690,1773539129.0,1773539723.0,9.9,0.45,9.9,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_320,40_100239,550,40_561763369,40_9650,1773539690,1773539760.0,1773539750.0,-0.17,3.0,2.83,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_575,1_100210,36,1_732389059,1_7029,1773539690,1773540060.0,1773539702.0,-5.97,0.0,-5.97,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_10640,1_100252,62,1_736388839,1_8030,1773539390,1773540060.0,1773539269.0,-13.18,2.0,-11.18,19.0,5.0,1,1,3.0,2026-03-14,2026-03-14 19:00,default
1_11060,1_100249,60,1_649668039,1_7056,1773539390,1773539317.0,1773539517.0,3.33,0.0,3.33,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_74735,1_102701,225,1_630221969,1_7325,1773539390,1773539429.0,1773539544.0,1.92,0.0,1.92,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_575,1_100263,7,1_736813269,1_6212,1773539390,1773539640.0,1773539378.0,-4.37,1.0,-3.37,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_280,40_100240,554,40_561759609,40_7976484,1773539390,1773539181.0,1773539435.0,4.23,5.07,4.23,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_620,40_100236,545,40_353313349,40_9687,1773539390,1773539400.0,1773539573.0,2.88,1.0,2.88,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_85800,1_100196,331,1_778646469,1_7235,1773539390,1773539433.0,1773539490.0,0.95,0.0,0.95,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_575,1_100210,36,1_713418719,1_7106,1773539390,1773539460.0,1773539215.0,-4.08,0.0,-4.08,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_8541,1_100263,7,1_727429079,1_8202,1773539390,1773539280.0,1773539422.0,2.37,2.0,2.37,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_59286,1_100072,181,1_721582809,1_7312,1773539390,1773539469.0,1773539398.0,-1.18,5.53,4.35,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_80121,1_102719,161,1_693792779,1_7129,1773539090,1773539074.0,1773539178.0,1.73,0.02,1.73,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_18590,1_100252,62,1_721291659,1_8003,1773539090,1773539256.0,1773539196.0,-1.0,0.0,-1.0,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_81982,1_100196,331,1_778646469,1_7235,1773539090,1773539150.0,1773539262.0,1.87,0.0,1.87,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_76310,40_100232,522,40_605989289,40_9659,1773539090,1773538887.0,1773539279.0,6.53,1.8,6.53,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_620,40_100239,550,40_561761499,40_9806,1773539090,1773539280.0,1773539227.0,-0.88,13.0,12.12,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
1_40065,1_102574,40,1_778640609,1_8124,1773539090,1773539013.0,1773539233.0,3.67,0.0,3.67,18.0,5.0,1,1,3.0,2026-03-14,2026-03-14 18:00,default
