stop_id,route_id,route_short_name,delay_min,hour_of_day,day_of_week,is_weekend,is_peak_hour,status,temperature_c,precipitation_mm,wind_speed_kmh,weather_code,is_raining,weather_category
1_10912,40_100511,542,0.0,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_65092,1_100162,271,-17.65,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_51930,1_100030,131,-3.8,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_46505,1_102619,F Line,-7.4,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_77460,1_102746,333,4.58,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_45670,1_100210,36,4.52,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_103,1_102745,G Line,5.62,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_40065,1_102574,40,-3.27,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_59282,1_102717,165,-11.85,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_23905,1_100214,372,1.37,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_74714,1_102702,239,-1.1,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_620,40_100240,554,-2.8,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_10912,1_100264,70,0.28,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_76312,1_102705,230,-1.68,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_41940,1_100249,60,-2.98,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_12170,1_100039,14,0.0,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_73945,1_102704,250,2.87,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_30790,1_100249,60,0.88,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_575,1_100089,2,5.82,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_47660,1_102736,H Line,-2.93,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_8530,1_100263,7,4.68,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_60710,1_100512,A Line,0.27,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_17800,1_100202,345,2.7,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_2200,1_102581,D Line,1.62,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_620,40_100236,545,1.48,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
