stop_id,stop_name,lat,lon,direction
1_103,Spring St & 8th Ave,47.608528,-122.329239,NE
1_12170,S Mcclellan St & 31st Ave S,47.578278,-122.292496,E
1_46570,NE 10th St & Index Ave NE,47.499412,-122.179878,SE
1_46791,Vashon Hwy SW & SW 204th St,47.423187,-122.460396,N
1_51740,9th Ave SW & SW Trenton St,47.524971,-122.346642,N
1_76317,102nd Ave NE & Main St,47.759716,-122.203621,NW
1_28370,NW 36th St & 1st Ave NW,47.653156,-122.358185,W
1_481,3rd Ave & Columbia St,47.604263,-122.332901,SE
1_70694,NE 80th St & 120th Ave NE,47.675358,-122.180016,E
1_6650,Greenwood Ave N & N 87th St,47.692844,-122.355225,N
1_55812,Martin L King Jr Way S & S Andover St,47.568226,-122.296677,N
1_71480,West Lake Sammamish Pkwy NE & NE 27th St,47.634544,-122.091568,NW
1_77930,15th Ave NE & NE Perkins Way,47.765587,-122.313774,N
1_85800,N 205th St & 1st Ave NE,47.777702,-122.330238,W
1_55290,S Leo St & Beacon Ave S,47.502556,-122.269508,E
1_22196,Delridge Way SW & SW Thistle St,47.527512,-122.360359,N
1_84068,NE Woodinville Duvall Rd & Mink Rd NE,47.754986,-122.062263,W
1_5830,Greenwood Ave N & N 76th St,47.683762,-122.3554,S
1_8310,Rainier Ave S & S Alaska St,47.561127,-122.287209,NW
1_51551,Ambaum Blvd SW & SW 122nd St,47.493446,-122.35006,S
1_62212,E Smith St & Jason Ave N,47.38345,-122.226105,W
1_74871,NW Richmond Beach Rd & 15th Ave NW,47.769123,-122.375618,NW
1_29217,NW Market St & 11th Ave NW,47.668594,-122.370453,E
1_56874,169th Ave SE & SE 142nd St,47.475697,-122.115105,N
1_10950,10th Ave E & E Miller St,47.641163,-122.32016,S
1_4290,Taylor Ave N & Galer St,47.632507,-122.345863,N
1_75350,N 145th St & Courtland Pl N,47.734203,-122.338013,W
1_67200,164th Ave SE & SE 2nd St,47.607906,-122.121208,N
1_52638,S 188th St & 42nd Ave S,47.434471,-122.282249,W
1_11870,S Jackson St & 30th Ave S,47.599251,-122.29364,W
1_26560,Westlake Ave N & Crockett St,47.638069,-122.340935,SE
1_55711,Martin L King Jr Way S & 37th Ave S,47.548397,-122.286484,NW
1_73945,NE Redmond Way & 145th Ave NE,47.674892,-122.146477,E
1_60161,SE 177th St & 140th Ave SE,47.443913,-122.152382,W
1_970,Stewart St & 4th Ave,47.611992,-122.339272,SW
1_55370,59th Ave S & S Wallace St,47.497334,-122.259712,S
1_69430,Lake Washington Blvd NE & NE 46th St,47.651611,-122.20417,N
1_74455,Northup Way & NE 28th St,47.635303,-122.189758,SE
1_51930,9th Ave SW & SW Elmgrove St,47.529896,-122.346863,S
1_24430,28th Ave W & W Ruffner St,47.652004,-122.392982,S
1_8541,S Jackson St & 12th Ave S,47.599129,-122.317642,E
1_60360,S 43rd St & Talbot Rd S,47.441181,-122.213249,W
1_58400,K St SE & 18th St SE,47.292747,-122.216133,S
